wdir,temp,maxt,visibility,wspd,datetimeStr,solarenergy,heatindex,cloudcover,mint,datetime,precip,solarradiation,weathertype,snowdepth,sealevelpressure,snow,dew,humidity,precipcover,wgust,conditions,windchill,info
240.08,12.3,20.9,4.5,15.5,2022-01-01T00:00:00-07:00,0.9,,84.4,0.6,1640995200000,0.1,23.0,"Light Snow, Mist, Snow",1.97,1014.3,,4.9,71.76,50.0,,"Rain, Overcast",-12.3,
169.17,22.5,42.0,9.9,11.0,2022-01-02T00:00:00-07:00,1.3,,7.6,1.0,1641081600000,0.0,33.5,,1.97,1027.8,,5.6,50.15,0.0,,Clear,-12.6,
118.46,37.7,55.0,9.9,9.6,2022-01-03T00:00:00-07:00,2.2,,37.4,20.9,1641168000000,0.0,54.7,,1.18,1019.1,,10.8,35.97,0.0,28.9,Partially cloudy,10.6,
270.5,45.1,53.6,9.9,28.6,2022-01-04T00:00:00-07:00,1.7,,35.9,37.1,1641254400000,0.0,42.5,,,1008.3,,3.7,18.52,0.0,58.8,Partially cloudy,29.2,
172.63,28.1,51.6,9.4,24.3,2022-01-05T00:00:00-07:00,2.6,,67.4,12.7,1641340800000,0.0,66.4,"Snow Showers, Mist, Light Snow, Fog",,1012.6,,14.7,60.4,0.0,46.1,Partially cloudy,-1.5,
190.88,12.9,20.9,8.8,11.3,2022-01-06T00:00:00-07:00,1.8,,71.6,5.9,1641427200000,0.01,45.2,"Mist, Light Snow",,1020.1,,3.5,66.35,4.17,,"Rain, Partially cloudy",-7.6,
181.54,46.5,65.7,9.9,24.2,2022-01-07T00:00:00-07:00,1.1,,20.7,16.4,1641513600000,0.0,28.5,,,1006.6,,16.3,34.99,0.0,33.2,Clear,5.8,
155.58,42.8,55.9,9.9,21.6,2022-01-08T00:00:00-07:00,3.2,,69.8,31.6,1641600000000,0.01,80.7,"Light Snow, Light Rain And Snow, Light Rain",,1007.9,,17.4,40.32,4.17,35.9,"Rain, Partially cloudy",23.1,
194.96,26.6,33.7,8.9,12.9,2022-01-09T00:00:00-07:00,2.6,,58.3,22.7,1641686400000,0.0,66.9,"Light Snow, Mist, Light Rain And Snow, Light Freezing Drizzle/Freezing Rain, Freezing Fog",,1033.8,,19.4,74.42,0.0,,Partially cloudy,12.2,
69.71,32.8,50.9,9.9,12.4,2022-01-10T00:00:00-07:00,1.0,,7.7,18.3,1641772800000,0.0,25.4,,,1036.8,,7.7,39.4,0.0,,Clear,6.0,
164.21,40.7,59.7,9.9,17.2,2022-01-11T00:00:00-07:00,2.1,,22.1,22.0,1641859200000,0.0,53.9,,,1026.2,,0.3,23.12,0.0,,Clear,14.3,
119.46,40.0,55.8,9.9,10.6,2022-01-12T00:00:00-07:00,3.3,,54.5,23.4,1641945600000,0.0,83.5,,,1025.2,,7.0,28.56,0.0,,Partially cloudy,13.1,
168.29,46.4,58.8,9.9,14.1,2022-01-13T00:00:00-07:00,2.0,,56.0,36.1,1642032000000,0.0,50.5,,,1021.2,,17.0,31.89,0.0,19.7,Partially cloudy,29.4,
263.54,36.2,46.3,7.5,33.5,2022-01-14T00:00:00-07:00,3.8,,66.0,24.1,1642118400000,0.02,95.8,"Blowing Or Drifting Snow, Light Snow, Mist",,1019.7,,18.2,51.34,16.67,48.7,"Rain, Partially cloudy",10.3,
237.17,28.3,43.2,9.6,15.2,2022-01-15T00:00:00-07:00,1.3,,23.9,18.6,1642204800000,0.0,31.7,Light Snow,1.18,1029.4,,12.3,53.26,0.0,24.2,Clear,9.1,
184.92,40.8,55.9,9.9,14.1,2022-01-16T00:00:00-07:00,2.4,,32.0,27.3,1642291200000,0.0,59.6,,,1019.4,,3.2,24.47,0.0,32.2,Partially cloudy,20.7,
101.79,39.2,60.2,9.9,12.0,2022-01-17T00:00:00-07:00,2.4,,30.1,19.3,1642377600000,0.0,60.7,,,1015.7,,10.5,36.68,0.0,,Partially cloudy,7.2,
147.17,41.2,58.2,9.9,20.0,2022-01-18T00:00:00-07:00,3.6,,60.4,29.3,1642464000000,0.0,92.1,,,1010.4,,9.2,31.21,0.0,,Partially cloudy,20.7,
146.79,23.3,33.4,4.7,12.9,2022-01-19T00:00:00-07:00,0.9,,90.2,16.1,1642550400000,0.0,22.8,"Mist, Light Snow, Light Rain And Snow, Fog, Freezing Drizzle/Freezing Rain, Light Freezing Drizzle/Freezing Rain, Freezing Fog",,1024.3,,17.4,79.58,0.0,,Overcast,5.5,
181.88,19.3,26.9,5.1,5.9,2022-01-20T00:00:00-07:00,3.2,,62.8,13.6,1642636800000,0.0,80.6,"Light Snow, Mist, Fog",,1027.0,,15.7,85.61,0.0,,Partially cloudy,8.1,
284.96,30.9,42.1,8.1,18.9,2022-01-21T00:00:00-07:00,3.3,,83.9,19.2,1642723200000,0.01,83.7,"Light Snow, Mist",,1020.6,,21.0,67.71,4.17,29.2,"Rain, Overcast",11.3,
236.75,30.5,39.6,9.2,16.1,2022-01-22T00:00:00-07:00,2.8,,54.2,24.5,1642809600000,0.01,71.4,"Light Snow, Mist, Light Rain And Snow, Light Freezing Drizzle/Freezing Rain",1.18,1026.1,,23.1,74.44,4.17,,"Rain, Partially cloudy",16.1,
135.0,32.5,45.5,9.9,9.0,2022-01-23T00:00:00-07:00,2.5,,6.6,23.3,1642896000000,0.0,57.8,,,1019.5,,16.3,52.95,0.0,,Clear,14.2,
203.71,35.9,44.7,9.9,13.9,2022-01-24T00:00:00-07:00,2.3,,33.7,29.3,1642982400000,0.0,53.8,,,1011.8,,11.9,38.09,0.0,22.2,Partially cloudy,20.5,
216.29,26.0,31.1,9.6,24.6,2022-01-25T00:00:00-07:00,3.8,,92.1,19.6,1643068800000,0.0,96.9,Light Snow,,1019.9,,15.1,63.35,0.0,35.2,Overcast,11.3,
98.42,26.5,43.2,9.6,8.8,2022-01-26T00:00:00-07:00,2.7,,32.2,15.2,1643155200000,0.0,67.2,"Light Snow, Mist, Fog",,1019.5,,10.3,56.01,0.0,,Partially cloudy,6.3,
116.38,22.9,27.6,8.4,16.7,2022-01-27T00:00:00-07:00,3.4,,67.2,9.7,1643241600000,0.03,78.2,"Heavy Snow, Light Snow",1.18,1027.6,,12.1,64.01,16.67,31.1,"Rain, Partially cloudy",-1.3,
195.04,28.0,45.3,9.9,9.6,2022-01-28T00:00:00-07:00,3.4,,0.0,8.7,1643328000000,0.0,79.5,,1.18,1031.4,,4.7,39.37,0.0,,Clear,-2.4,
